TS	Time	Phase	Temps
2012-04-26 12:01:25.265	84.999	-77.307	310.43
2012-04-26 12:01:25.469	85.203	-77.387	310.43
2012-04-26 12:01:25.672	85.406	-77.503	310.43
2012-04-26 12:01:25.875	85.609	-78.119	310.42
2012-04-26 12:01:26.078	85.812	-77.426	310.42
2012-04-26 12:01:26.281	86.015	-77.465	310.42
2012-04-26 12:01:26.469	86.203	-78.402	310.42
2012-04-26 12:01:26.672	86.406	-78.315	310.42
2012-04-26 12:01:26.875	86.609	-77.626	310.42
2012-04-26 12:01:27.078	86.812	-77.793	310.43
2012-04-26 12:01:27.281	87.015	-77.413	310.43
2012-04-26 12:01:27.484	87.218	-78.093	310.43
2012-04-26 12:01:27.687	87.421	-77.214	310.43
2012-04-26 12:01:27.875	87.609	-77.515	310.43
2012-04-26 12:01:28.078	87.812	-76.973	310.43
2012-04-26 12:01:28.281	88.015	-77.382	310.43
2012-04-26 12:01:28.484	88.218	-77.341	310.43
2012-04-26 12:01:28.687	88.421	-77.545	310.43
2012-04-26 12:01:28.890	88.624	-77.212	310.43
2012-04-26 12:01:29.078	88.812	-78.284	310.43
2012-04-26 12:01:29.281	89.015	-77.848	310.43
2012-04-26 12:01:29.484	89.218	-77.087	310.43
2012-04-26 12:01:29.687	89.421	-77.09	310.43
2012-04-26 12:01:29.890	89.624	-77.507	310.43
2012-04-26 12:01:30.094	89.828	-77.23	310.43
2012-04-26 12:01:30.297	90.031	-77.415	310.43
2012-04-26 12:01:30.484	90.218	-77.322	310.43
2012-04-26 12:01:30.687	90.421	-78.194	310.43
2012-04-26 12:01:30.890	90.624	-77.734	310.43
2012-04-26 12:01:31.093	90.827	-77.218	310.43
2012-04-26 12:01:31.297	91.031	-77.232	310.43
2012-04-26 12:01:31.500	91.234	-78.931	310.43
2012-04-26 12:01:31.703	91.437	-78.201	310.43
2012-04-26 12:01:31.890	91.624	-77.46	310.42
2012-04-26 12:01:32.093	91.827	-77.524	310.42
2012-04-26 12:01:32.297	92.031	-76.918	310.42
2012-04-26 12:01:32.500	92.234	-77.688	310.42
2012-04-26 12:01:32.703	92.437	-77.08	310.42
2012-04-26 12:01:32.906	92.64	-77.62	310.42
2012-04-26 12:01:33.109	92.843	-77.965	310.42
2012-04-26 12:01:33.297	93.031	-77.974	310.42
2012-04-26 12:01:33.500	93.234	-77.991	310.42
2012-04-26 12:01:33.703	93.437	-77.375	310.42
2012-04-26 12:01:33.906	93.64	-77.226	310.42
2012-04-26 12:01:34.109	93.843	-78.016	310.42
2012-04-26 12:01:34.312	94.046	-77.274	310.42
2012-04-26 12:01:34.500	94.234	-76.905	310.42
2012-04-26 12:01:34.703	94.437	-76.225	310.42
2012-04-26 12:01:34.906	94.64	-77.139	310.42
2012-04-26 12:01:35.109	94.843	-77.32	310.42
2012-04-26 12:01:35.312	95.046	-77.137	310.43
2012-04-26 12:01:35.515	95.249	-76.976	310.43
2012-04-26 12:01:35.718	95.452	-77.297	310.43
2012-04-26 12:01:35.906	95.64	-77.406	310.43
2012-04-26 12:01:36.109	95.843	-77.215	310.43
2012-04-26 12:01:36.312	96.046	-77.622	310.43
2012-04-26 12:01:36.515	96.249	-78.264	310.43
2012-04-26 12:01:36.718	96.452	-78.016	310.43
2012-04-26 12:01:36.922	96.656	-77.63	310.43
2012-04-26 12:01:37.125	96.859	-77.629	310.43
2012-04-26 12:01:37.312	97.046	-77.014	310.43
2012-04-26 12:01:37.515	97.249	-77.964	310.43
2012-04-26 12:01:37.718	97.452	-77.612	310.43
2012-04-26 12:01:37.922	97.656	-77.625	310.43
2012-04-26 12:01:38.125	97.859	-79.241	310.43
2012-04-26 12:01:38.328	98.062	-77.881	310.43
2012-04-26 12:01:38.531	98.265	-78.168	310.43
2012-04-26 12:01:38.718	98.452	-77.58	310.43
2012-04-26 12:01:38.922	98.656	-76.518	310.43
2012-04-26 12:01:39.125	98.859	-78.015	310.42
2012-04-26 12:01:39.328	99.062	-77.407	310.42
2012-04-26 12:01:39.531	99.265	-78.089	310.42
2012-04-26 12:01:39.734	99.468	-76.916	310.42
2012-04-26 12:01:39.937	99.671	-77.722	310.42
2012-04-26 12:01:40.125	99.859	-77.786	310.42
